gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB9,411.90384,0.2056784589572089,0.1091319918742858,2.576356027661695,0.0099847777388171,0.0751713357447312
ABCC1,446.61942,0.1923593799320131,0.0764369177419239,3.021132911948424,0.0025183079051392,0.0344648403622323
ABCC10,260.1053,0.3183067165621694,0.1488254197580674,3.0203820807892674,0.0025245599070451,0.0344841392191999
ABCC11,20.917902,0.2134289029580877,0.2071108339451814,2.2631274068658347,0.0236278365227163,0.1231199367016496
ABCC12,51.346634,0.0380874691400718,0.1019021018313137,0.7797789699638598,0.4355209868886783,0.6614508025452133
ABCC13,1.4744484,-0.0307580954086291,0.1135760285920166,-1.4904224138639404,0.1361132027074924,0.3483198125204366
ABCC2,26.306383,-0.0124170599755662,0.0976763196327886,-0.2764684827647754,0.7821882637317137,0.894807285277431
ABCC3,18.029255,0.1856267893338985,0.3526261872796302,2.3092593125131256,0.0209291960020287,0.1147833353893504
ABCC4,343.53558,-0.0138886608880576,0.081273454340078,-0.2438872888054533,0.8073181140413485,0.9094004600259562
ABCC5,2029.8505,0.1169478128076266,0.0848350835966815,1.7901162252781282,0.0734352289398795,0.2413388381532602
ABCC5-AS1,0.121773906,-0.0031219086656866,0.1093929949913088,-0.1207109620160787,0.9039199760584372,
ABCC6,13.866092,0.0344489603288397,0.1003679908187542,0.7068891427100035,0.4796353716447704,0.6972307316764578
ABCC6P1,7.9292784,-0.003825643200444,0.097046781203361,-0.0863800438472611,0.9311643103312616,0.9703777818862782
ABCC6P2,1.2380084,0.0699705467878289,0.1347996712861673,1.850333216111668,0.0642655380375646,0.2229338948422671
ABCC8,722.8527,0.5651308975786263,0.1699292222924125,4.072211388960041,4.656888554675476e-05,0.0044225715930113
ABCC9,930.63824,-0.0837922702239403,0.1156352875874817,-1.4269409732059757,0.1535969093295647,0.3714594650994734
ABCD1,60.17495,0.0699774073570488,0.1031052808623282,1.2019570310594327,0.2293801764199282,0.4655615390134833
ABCD2,755.8883,-0.0857586041639191,0.1154288099180197,-1.274026607374989,0.202653986680525,0.4337729012118823
ABCD3,1158.6272,-0.1776290450644624,0.087925272091259,-2.6574997896705086,0.0078722639572468,0.0661911533093278
ABCD4,419.8379,0.1532794419570586,0.1329761171659756,2.033986776492854,0.0419529287298576,0.172958651096824
ABCE1,1185.3163,-0.1545229806656976,0.0835044246522337,-2.4978115960906964,0.0124962588384275,0.0849108872536219
ABCF1,704.6205,0.0339878156405424,0.0519788434925976,0.742469074898169,0.4578031819622166,0.6800393850390218
ABCF2,948.47437,-0.0395245573063036,0.0488893842117531,-0.8440977778989338,0.3986147693339082,0.6323045529006281
ABCF3,762.1534,0.031037763991129,0.0515218812764766,0.7926848561342217,0.4279614556229818,0.655892888737089
ABCG1,623.1828,-0.0236098267480561,0.06181577099789,-0.4612388627151238,0.6446272424554251,0.8119768678624639
ABCG2,436.62546,0.5358681376083904,0.1821500711086425,3.7117813148065606,0.0002058057645208,0.0096958727532196
ABCG4,337.0892,0.0796038086978214,0.1114311022095965,1.2755045181869635,0.2021307259648576,0.4332377299516176
ABCG5,11.142915,-0.0165632874113906,0.0973604637788513,-0.361683955795141,0.7175882179285736,0.8579137240468646
ABCG8,37.253128,0.0963261807594916,0.1302559706654627,1.5540613547552262,0.1201697822180369,0.3245003664797432
ABHD1,11.458912,0.3899341757623102,0.19985500800303,3.0240499652636355,0.0024941524249637,0.034342120524128
ABHD10,720.2734,-0.1714938008948164,0.1046115828150143,-2.357225984322306,0.0184120382354536,0.1059861146821384
ABHD11,94.55358,0.2763811757990053,0.1281619589590514,2.955216387585133,0.0031244982171958,0.0387904394752008
ABHD11-AS1,0.12538362,-0.0019758128576692,0.1092099986515824,-0.117693367123907,0.9063106225217072,
ABHD12,1295.3065,-0.0581247127199201,0.0565565180946168,-1.147061372368711,0.251356256977419,0.4911627184772647
ABHD12B,96.265335,-0.0065469611693671,0.0811258592294338,-0.1398140805504903,0.8888068879034775,0.9507752591450448
ABHD13,773.19037,-0.2648311582234396,0.1276803711532791,-2.7107728585250914,0.0067126592812765,0.0599127282879759
ABHD14A,238.01778,-0.0002446179944911,0.0697370919195289,-0.005609769502151,0.9955240750004472,0.998117707741229
ABHD14A-ACY1,133.15929,0.0527312655599948,0.0609518568718161,1.0256928162139536,0.3050364015818613,0.5464183717891137
ABHD14B,105.157074,0.1276576023384757,0.0954125599216033,1.9410118761546429,0.0522568368730042,0.1966444823097372
ABHD15,90.720695,-0.0108383256852887,0.0790214237950034,-0.1982381997593102,0.8428587014166627,0.928152803471202
ABHD16A,471.4467,0.0037595936081949,0.0562232374517273,0.0771178153431401,0.938529820610493,0.974004247462866
