,Gene,Coefficient
660,ALMS1-IT1,-0.0032935918864020813
661,ALMS1P1,0.005111177878591921
662,ALOX12,-0.0006390007320211061
663,ALOX12-AS1,-0.00201819876174055
664,ALOX12B,0.0003158238344530582
665,ALOX12P2,-0.002801383416948722
666,ALOX15,-0.0032432186849610306
667,ALOX15B,-0.002477928447529948
668,ALOX15P1,0.00039225696559580547
669,ALOX5,0.0011035021390180158
670,ALOX5AP,-6.819240350029667e-05
671,ALOXE3,0.001753230107019681
672,ALPI,-0.0032636854513051154
673,ALPK1,-0.0011735538388949922
674,ALPK2,0.0036139940726213223
675,ALPK3,-0.00032197484140334103
676,ALPL,-0.0007581637747188996
677,ALPP,-0.0013232821109550167
678,ALPPL2,0.0
679,ALS2,3.233182118785167e-05
680,ALS2CL,-0.002978937710524027
681,ALS2CR12,0.003237994913468399
682,ALX1,0.0023730946412758736
683,ALX3,-0.005911492272755039
684,ALX4,-0.002016148554574794
685,ALYREF,-0.000123236707461127
686,AMACR,-0.002065919185550471
687,AMBN,0.004123748289657598
688,AMBP,0.00029467026324918045
689,AMBRA1,-0.00023713673478227337
690,AMD1,-0.00021819504313344652
691,AMDHD1,0.002026272134230752
692,AMDHD2,0.0022830053793959537
693,AMELX,0.0005943155004330906
694,AMELY,0.0
695,AMER1,-0.0029614576341960115
696,AMER2,-0.0019508922962097502
697,AMER3,-0.001222544120737663
698,AMFR,-0.0018511388597414408
699,AMH,-0.0051007929373895235
700,AMHR2,0.0008275806867498402
701,AMIGO1,-0.001409636183428815
702,AMIGO2,-0.0005946041950800517
703,AMIGO3,0.003146956834325452
704,AMMECR1,-0.0008236310581010231
705,AMMECR1L,-0.0004219233775090009
706,AMN,0.0037358900379636894
707,AMN1,-0.0003234902224657524
708,AMOT,-0.0020107043283243155
709,AMOTL1,-0.0018163083260210487
710,AMOTL2,-0.0006652683275187104
711,AMPD1,-0.0006405177803990882
712,AMPD2,-0.00041279872585930357
713,AMPD3,-0.0009528333997730981
714,AMPH,-6.581908229888676e-05
715,AMT,0.00179100498180953
716,AMTN,-0.00043375346530020125
717,AMY1A,0.0008327683177949333
718,AMY1B,0.0008327683177949333
719,AMY1C,0.0
720,AMY2A,0.003707750671840201
721,AMY2B,0.0033791911308257705
722,AMZ1,-0.001934993531446867
723,AMZ2,-0.0012783974652732465
724,AMZ2P1,0.0013476695426378887
725,ANAPC1,-0.0004183300096687204
726,ANAPC10,0.0002597882693363665
727,ANAPC11,-0.00039193268003424067
728,ANAPC13,-0.00024001410923982485
729,ANAPC15,-0.001270175713626054
730,ANAPC16,-0.0019283168904715184
731,ANAPC1P1,-0.0012916849995859058
732,ANAPC2,0.0012725167647984412
733,ANAPC4,0.0019383779427580004
734,ANAPC5,-0.001092135474002851
735,ANAPC7,0.0004894584218898727
736,ANG,0.0005280515401820162
737,ANGEL1,0.000243306767561442
738,ANGEL2,-9.141105138620091e-05
739,ANGPT1,-0.005348333566054192
740,ANGPT2,0.0056287546958270354
741,ANGPT4,-0.0031755796699989955
742,ANGPTL1,0.002351219064626303
743,ANGPTL2,0.0009953216503379055
744,ANGPTL3,0.00023498019649862486
745,ANGPTL4,0.0003964348181215189
